date,min,max,median,q1,q3,stdev,count
2025-08-15T00:00:00.000Z,0.3,5.78,1.2,0.6,2.04,0.826,305
2025-08-16T00:00:00.000Z,0.3,4,0.6,0.5,0.93,0.448,587
2025-08-17T00:00:00.000Z,0.4,2.06,0.85,0.7,1.03,0.299,590
2025-08-18T00:00:00.000Z,0.47,3.4,1,0.8,1.3,0.375,593
2025-08-19T00:00:00.000Z,0.3,2.5,0.82,0.7,1.1,0.345,593
2025-08-20T00:00:00.000Z,0.32,3.38,0.7,0.6,0.8,0.415,580
2025-08-21T00:00:00.000Z,0.4,1.25,0.8,0.7,0.9,0.133,385
2025-08-22T00:00:00.000Z,0.55,1.48,0.9,0.8,1,0.148,387
2025-08-23T00:00:00.000Z,0.5,2.7,0.95,0.82,1.1,0.267,589
2025-08-24T00:00:00.000Z,0.4,2.35,1,0.8,1.2,0.313,594
2025-08-25T00:00:00.000Z,0.4,61.38,0.9,0.75,1.14,3.399,592
2025-08-26T00:00:00.000Z,0.5,49.67,1.1,0.8,1.63,4.716,582
2025-08-27T00:00:00.000Z,0.5,4.78,1.2,1,1.5,0.395,594
2025-08-28T00:00:00.000Z,0.75,4.18,1.33,1.1,1.67,0.581,594
2025-08-29T00:00:00.000Z,0.68,4.03,1.3,1.05,1.64,0.51,584
2025-08-30T00:00:00.000Z,0.5,3.63,1,0.85,1.2,0.378,594
2025-08-31T00:00:00.000Z,0.7,4.32,1.2,1.08,1.6,0.492,593
2025-09-01T00:00:00.000Z,0.8,3.83,1.45,1.2,1.8,0.511,592
2025-09-02T00:00:00.000Z,0.4,3.03,1.14,1,1.4,0.365,594
2025-09-03T00:00:00.000Z,0.4,4.45,0.82,0.7,1.12,0.585,591
2025-09-04T00:00:00.000Z,0.4,2.6,0.9,0.8,1.1,0.29,592
2025-09-05T00:00:00.000Z,0.47,2.63,0.88,0.7,1.08,0.347,474
2025-09-06T00:00:00.000Z,0.7,1.25,0.8,0.7,0.98,0.192,8
2025-09-07T00:00:00.000Z,0.25,1.8,0.6,0.5,0.8,0.245,260
2025-09-08T00:00:00.000Z,0.4,2.04,0.88,0.73,1,0.19,304
2025-09-09T00:00:00.000Z,0.8,3.4,1.67,1.5,1.9,0.353,558
2025-09-10T00:00:00.000Z,0.88,4.8,1.7,1.5,1.95,0.434,561
2025-09-11T00:00:00.000Z,0.6,3.65,1.43,1.1,1.83,0.608,587
2025-09-12T00:00:00.000Z,0.3,1.83,0.9,0.73,1,0.225,593
2025-09-13T00:00:00.000Z,0.3,3.37,0.73,0.6,0.88,0.235,594
2025-09-14T00:00:00.000Z,0.4,2.17,0.8,0.7,0.9,0.21,594
2025-09-15T00:00:00.000Z,0.4,5.2,0.8,0.7,1,0.618,505
2025-09-16T00:00:00.000Z,0.33,2.4,0.65,0.6,0.79,0.18,593
2025-09-17T00:00:00.000Z,0.3,1.58,0.63,0.56,0.7,0.148,594
2025-09-18T00:00:00.000Z,0.4,1.95,0.7,0.6,0.8,0.169,594
2025-09-19T00:00:00.000Z,0.32,8.73,0.77,0.65,0.95,1.088,571
2025-09-20T00:00:00.000Z,0.3,50,0.55,0.5,0.7,4.158,468
2025-09-21T00:00:00.000Z,0.3,2.4,0.7,0.55,1,0.346,592
2025-09-22T00:00:00.000Z,0.3,1.98,0.8,0.7,1,0.249,567
2025-09-23T00:00:00.000Z,0.4,4.72,0.9,0.8,1.1,0.403,592
2025-09-24T00:00:00.000Z,0.35,2.1,0.8,0.63,0.98,0.252,589
2025-09-25T00:00:00.000Z,0.5,3.03,0.88,0.77,1,0.224,590
2025-09-26T00:00:00.000Z,0.3,2.13,0.73,0.6,0.9,0.225,592
2025-09-27T00:00:00.000Z,0.56,2.25,0.85,0.77,0.95,0.184,593
2025-09-28T00:00:00.000Z,0.5,2.88,0.97,0.82,1.1,0.332,591
2025-09-29T00:00:00.000Z,0.5,3.72,0.85,0.73,1,0.261,588
2025-09-30T00:00:00.000Z,0.52,2.54,0.85,0.77,0.98,0.199,592
2025-10-01T00:00:00.000Z,0.5,3.15,0.93,0.8,1.1,0.308,582
2025-10-02T00:00:00.000Z,0.6,3.58,1.05,0.93,1.2,0.303,571
2025-10-03T00:00:00.000Z,0.7,17.1,1.2,1.01,1.72,1.336,560
2025-10-04T00:00:00.000Z,0.6,8.8,1,0.88,1.1,0.518,585
2025-10-05T00:00:00.000Z,0.55,21.5,1,0.9,1.14,1.4,591
2025-10-06T00:00:00.000Z,0.5,4.97,0.9,0.8,1.07,0.373,593
2025-10-07T00:00:00.000Z,0.52,4.84,0.9,0.8,1.1,0.42,586
2025-10-08T00:00:00.000Z,0.5,1.92,0.85,0.73,1,0.202,592
2025-10-09T00:00:00.000Z,0.47,2.87,0.9,0.8,1.17,0.405,594
2025-10-10T00:00:00.000Z,0.5,20.65,1,0.83,1.2,1.649,592
2025-10-11T00:00:00.000Z,0.52,5.9,1.1,0.9,1.41,0.628,593
2025-10-12T00:00:00.000Z,0.47,3.22,0.88,0.77,1,0.305,585
2025-10-13T00:00:00.000Z,0.6,2.06,1,0.88,1.2,0.272,594
2025-10-14T00:00:00.000Z,0.5,5.7,1.08,0.9,1.38,0.725,585
2025-10-15T00:00:00.000Z,0.5,7.85,0.93,0.8,1.17,0.642,587
2025-10-16T00:00:00.000Z,0.6,3.92,1.1,0.9,1.48,0.527,502
2025-10-17T00:00:00.000Z,0.6,2.5,0.93,0.8,1.08,0.242,587
2025-10-18T00:00:00.000Z,0.52,3.87,0.93,0.8,1.12,0.36,593
2025-10-19T00:00:00.000Z,0.5,3.5,0.9,0.8,1.05,0.359,592
2025-10-20T00:00:00.000Z,0.5,3.42,0.88,0.75,1,0.359,593
2025-10-21T00:00:00.000Z,0.7,3.28,1.27,1.08,1.5,0.341,593
2025-10-22T00:00:00.000Z,0.5,4.13,1.4,1.1,1.65,0.383,593
2025-10-23T00:00:00.000Z,0.7,3.03,1.3,1.1,1.58,0.36,593
2025-10-24T00:00:00.000Z,0.5,26,1.17,0.8,1.4,2.139,595
2025-10-25T00:00:00.000Z,0.5,5.72,0.9,0.75,1.2,0.757,594
2025-10-26T00:00:00.000Z,0.5,4.76,1,0.82,1.4,0.72,592
2025-10-27T00:00:00.000Z,0.4,1.73,0.8,0.7,0.9,0.179,590
2025-10-28T00:00:00.000Z,0.56,2.54,0.9,0.8,1.02,0.271,594
2025-10-29T00:00:00.000Z,0.4,2.29,0.88,0.73,1,0.262,593
2025-10-30T00:00:00.000Z,0.3,4.47,0.84,0.63,1,0.527,594
2025-10-31T00:00:00.000Z,0.4,1.9,0.8,0.7,0.9,0.194,594
2025-11-01T00:00:00.000Z,0.5,2.5,0.9,0.75,1,0.227,592
2025-11-02T00:00:00.000Z,0.5,1.7,0.9,0.8,1,0.172,592
2025-11-03T00:00:00.000Z,0.5,2.4,0.9,0.8,1.02,0.215,592
2025-11-04T00:00:00.000Z,0.4,3.28,0.9,0.77,1.08,0.436,594
2025-11-05T00:00:00.000Z,0.47,40.1,0.93,0.73,1.23,3.694,594
2025-11-06T00:00:00.000Z,0.5,2.83,1.02,0.88,1.27,0.36,590
2025-11-07T00:00:00.000Z,0.55,5.43,1.08,0.9,1.25,0.78,594
2025-11-08T00:00:00.000Z,0.43,2.52,0.85,0.73,1,0.263,591
2025-11-09T00:00:00.000Z,0.52,7.78,1,0.82,1.4,0.907,593
2025-11-10T00:00:00.000Z,0.5,4.78,0.93,0.8,1.2,0.515,593
2025-11-11T00:00:00.000Z,0.5,16.98,0.93,0.8,1.4,1.483,589
2025-11-12T00:00:00.000Z,0.5,4.15,0.93,0.8,1.1,0.51,594
2025-11-13T00:00:00.000Z,0.5,40.15,0.98,0.8,1.33,2.167,594
2025-11-14T00:00:00.000Z,0.5,12.8,1.05,0.85,1.5,1.205,593
2025-11-15T00:00:00.000Z,0.5,5.7,0.9,0.77,1.19,0.795,593
2025-11-16T00:00:00.000Z,0.5,3.05,1,0.85,1.3,0.437,455
